key,tab,kind,text,standalone,topic,parent,x,y,type,direction,rowkind,value,measured_by,where_found,etype,erq,erp,if_true,if_false,latest,bridge,bottom_line,hook,question,ask,positivity,strength,form
members-regularly-trade-industries,11,claim,"Members regularly trade in the industries their own committees oversee, which puts a private financial stake on both sides of decisions they control.",,,barring-members-congress-president,,,,,,,,,,,,,,,,The overlap is documented; what it causes is the contested part.,,,,,,
disclosure-has-failed-check,12,claim,"Disclosure has failed as a check: 78 members of one Congress filed late under the STOCK Act, the standard penalty is a $200 fee that is routinely waived, and no member has faced a serious sanction.",,,barring-members-congress-president,,,,,,,,,,,,,,,,"The enforcement record is strong evidence; it shows the reporting regime is unenforced, not that trades were corrupt.",,,,,,
holdings-ban-removes-conflict,13,claim,A holdings ban removes the conflict itself instead of asking the public to police thousands of individual trades after the fact.,,,barring-members-congress-president,,,,,,,,,,,,,,,,The strongest structural argument on the page: it changes what has to be proven.,,,,,,
federal-reserve-barred-its,14,claim,"The Federal Reserve barred its own policymakers from holding individual stocks in 2022 and kept functioning and kept hiring, which shows a comparable institution can operate under the rule.",,,barring-members-congress-president,,,,,,,,,,,,,,,,"A live natural experiment in a nearby institution, with a real scope objection.",,,,,,
trading-closed-briefing-almost,15,claim,"Trading on a closed briefing is almost impossible to prosecute, so the only rule that can actually be enforced is one that does not require proving what an official knew.",,,barring-members-congress-president,,,,,,,,,,,,,,,,"The enforcement asymmetry is real; it is evidence about provability, not about guilt.",,,,,,
best-identified-studies-actual,16,claim,"The best-identified studies of actual returns find congressional portfolios underperform the market, which is hard to square with a systematic insider advantage.",,,barring-members-congress-president,,,,,,,,,,,,,,,,The aggregate finding is solid and the rebuttal is that aggregates are the wrong place to look.,,,,,,
ban-official-leaves-conflict,17,claim,"A ban on the official leaves the conflict in place through spouses, dependent children, private partnerships, real estate and crypto, none of which most proposals reach.",,,barring-members-congress-president,,,,,,,,,,,,,,,,A real drafting objection that the Fed template already answers in part.,,,,,,
forced-divestiture-imposes-real,18,claim,Forced divestiture imposes real costs on officials of ordinary means and narrows who can afford to serve.,,,barring-members-congress-president,,,,,,,,,,,,,,,,The cost is real and largely fixable in drafting; the rebuttal is stronger than the argument.,,,,,,
members-keep-property-rights,19,claim,"Members keep the property rights of other citizens, and a ban restricts a lawful activity because of the job someone holds.",,,barring-members-congress-president,,,,,,,,,,,,,,,,Weakest of the four: the restriction is common elsewhere in government and the office is voluntary.,,,,,,
congress-will-enforce-ban,20,claim,"Congress will not enforce a ban on itself, so the statute would put a symbol in place of the enforcement reform that could work.",,,barring-members-congress-president,,,,,,,,,,,,,,,,The best argument against: it predicts the failure mode from the closest precedent.,,,,,,
senators-stock-purchases-beat,21,claim,"Senators' stock purchases beat the market by about 85 basis points a month, roughly 10 percent a year, over 1993 to 1998.",,,barring-members-congress-president,,,,,,,,,observational,,,,,,,Methodologically solid for its period; its period is the problem.,,,,,,
trades-placed-before-legislative,22,claim,Trades placed before legislative events earned abnormal returns of about 3 to 5 percent over 2014 to 2021.,,,barring-members-congress-president,,,,,,,,,observational,2,50,,,,,"The most direct answer to the underperformance studies, and the newest, which cuts both ways.",,,,,,
78-members-117th-congress,23,claim,78 members of the 117th Congress violated the STOCK Act's disclosure deadlines.,,,barring-members-congress-president,,,,,,,,,statistics,,,,,,,Accurate as a count of filing failures; frequently oversold as a count of misconduct.,,,,,,
131-federal-judges-heard,24,claim,"131 federal judges heard 685 cases involving companies in which they or their families held stock, over 2010 to 2018.",,,barring-members-congress-president,,,,,,,,,statistics,,,,,,,Strong evidence about disclosure regimes generally; one institution removed from the belief.,,,,,,
federal-reserve-officials-have,25,claim,"Federal Reserve officials have been barred from holding individual stocks, sector funds, individual bonds, crypto and derivatives since May 2022, with preclearance and a one-year holding period.",,,barring-members-congress-president,,,,,,,,,record,,,,,,,Establishes that the rule is workable; says little yet about its long-run costs.,,,,,,
congressional-portfolios-underperformed-market,26,claim,Congressional portfolios underperformed market benchmarks by roughly 2 to 3 percent a year over 2004 to 2008.,,,barring-members-congress-president,,,,,,,,,observational,,,,,,,"The strongest single piece of evidence against, and its known weakness is that averages hide tails.",,,,,,
no-evidence-members-congress,27,claim,"No evidence that members of Congress outperformed the market over 2012 to 2020, the period after the STOCK Act.",,,barring-members-congress-president,,,,,,,,,observational,2,50,,,,,Directly on point for the trading-advantage claim; silent on the voting-conflict claim.,,,,,,
five-years-after-ban,28,claim,"Five years after a ban takes effect, individual equity holdings reported by members fall to near zero and no trading scandal originates in Congress.",,,barring-members-congress-president,,,,,,,,,,,,,,,,"Pending, and the metric is gameable in a way the prediction should name.",,,,,,
public-trust-congress-five,29,claim,Public trust in Congress five years after a ban is higher than the pre-ban trend predicted.,,,barring-members-congress-president,,,,,,,,,,,,,,,,Weakly diagnostic: a lot of noise for one signal.,,,,,,
jurisdiction-adopts-holdings-ban,30,claim,A jurisdiction that adopts a holdings ban shows conflicted votes falling relative to comparable bodies that did not.,,,barring-members-congress-president,,,,,,,,,,,,,,,,The single most informative study nobody has run.,,,,,,
reported-conflicts-migrate-spouse,31,claim,"Reported conflicts migrate to spouse accounts and private partnerships, leaving the total number of conflict complaints unchanged.",,,barring-members-congress-president,,,,,,,,,,,,,,,,"The most likely way the belief fails, and the one the drafting can answer.",,,,,,
share-incoming-members-whose,32,claim,The share of incoming members whose wealth is in the top 1 percent rises after a ban.,,,barring-members-congress-president,,,,,,,,,,,,,,,,"Testable from existing data, and the base rate makes a large move unlikely.",,,,,,
post-reform-studies-continue,33,claim,"Post-reform studies continue to find no abnormal returns, so there is no trading advantage for a ban to remove.",,,barring-members-congress-president,,,,,,,,,,,,,,,,Would weaken one branch of the tree and leave the other standing.,,,,,,
members-stop-voting-industries,34,claim,Members stop voting on industries in which they hold a personal stake.,,,barring-members-congress-president,,,,,,,,,,,,,,,,"Mechanically near-certain in direction, contested in size.",,,,,,
officials-stop-placing-trades,35,claim,Officials stop placing trades ahead of government announcements.,,,barring-members-congress-president,,,,,,,,,,,,,,,,"Direction certain, magnitude resting on a contested base rate.",,,,,,
voters-can-tell-compromised,36,claim,Voters can tell a compromised official from a clean one without an investigation.,,,barring-members-congress-president,,,,,,,,,,,,,,,,The benefit most often claimed and the least supported by the record.,,,,,,
officials-get-one-rule,37,claim,Officials get one rule they can follow without a lawyer instead of a reporting regime they violate by accident.,,,barring-members-congress-president,,,,,,,,,,,,,,,,Plausible and small; the Fed rule suggests the saving is partly offset.,,,,,,
officials-sell-holdings-schedule,38,claim,Officials sell holdings on a schedule they did not choose and pay tax on the gains.,,,barring-members-congress-president,,,,,,,,,,,,,,,,Real and largely solvable in drafting.,,,,,,
mid-career-professionals-savings,39,claim,Mid-career professionals with savings in individual equities decline to run.,,,barring-members-congress-president,,,,,,,,,,,,,,,,The mechanism is real; the affected group is narrower than the argument implies.,,,,,,
officeholders-lose-income-currently,40,claim,Officeholders lose income they currently earn from trading on their position.,,,barring-members-congress-president,,,,,,,,,,,,,,,,"A cost that only exists to the extent the belief's own premise is true, and it falls on an interest almost nobody defends.",,,,,,
members-divest-move-holdings,41,claim,Members divest or move holdings into diversified funds within the compliance window.,,,barring-members-congress-president,,,,,,,,,,,,,,,,,,,,,,
filing-volume-falls-because,42,claim,Filing volume falls because there are fewer transactions to report.,,,barring-members-congress-president,,,,,,,,,,,,,,,,,,,,,,
conflict-complaints-shift-trading,43,claim,Conflict complaints shift from trading to family and outside business interests.,,,barring-members-congress-president,,,,,,,,,,,,,,,,,,,,,,
rule-becomes-unremarkable-judicial,44,claim,"The rule becomes unremarkable, as judicial and executive branch holding rules did.",,,barring-members-congress-president,,,,,,,,,,,,,,,,,,,,,,
officials-financial-holdings-currently,45,claim,Officials' financial holdings currently influence how they vote and what they say.,,,barring-members-congress-president,,,,,,,,,,,,,,,,"Documented as correlation, not established as influence. This is the load-bearing claim the whole belief rests on.",,,,,,
removing-holding-removes-influence,46,claim,"Removing the holding removes the influence rather than relocating it to a spouse, a partnership or a post-office job.",,,barring-members-congress-president,,,,,,,,,,,,,,,,"The weakest load-bearing part, and the one that caps the page.",,,,,,
holdings-ban-can-enacted,47,claim,A holdings ban can be enacted and enforced against sitting members.,,,barring-members-congress-president,,,,,,,,,,,,,,,,"Much stronger than it was two years ago, and still unfinished.",,,,,,
reducing-conflicts-worth-narrower,48,claim,Reducing conflicts is worth a narrower candidate pool and a real compliance burden.,,,barring-members-congress-president,,,,,,,,,,,,,,,,A value judgment that the cost-benefit table prices rather than settles.,,,,,,
officials-respond-financial-incentives,49,claim,Officials respond to financial incentives the way other people do.,,,barring-members-congress-president,,,,,,,,,,,,,,,,,,,,,,
disclosure-alone-sufficient-when,50,claim,Disclosure alone is sufficient when it is actually enforced.,,,barring-members-congress-president,,,,,,,,,,,,,,,,,,,,,,
both-sides-want-officials,51,claim,"Both sides want officials who are not, and do not appear to be, for sale.",,,barring-members-congress-president,,,,,,,,,,,,,,,,,,,,,,
bar-individual-stocks-sector,52,claim,"Bar individual stocks, sector funds and derivatives for the official, spouse and dependent children; keep diversified funds and Treasuries legal; allow deferral of capital gains on forced divestiture; and set the penalty at a share of the transaction rather than a flat fee.",,,barring-members-congress-president,,,,,,,,,,,,,,,,"The most defensible version on offer; its weakness is political, not analytical.",,,,,,
advertised-reason-what-actually,53,claim,The advertised reason is not what actually drives the position: Stop officials from trading on what they learn in office.,,,barring-members-congress-president,,,,,,,,,,,,,,,,,,,,,,
advertised-reason-what-actually-2,54,claim,The advertised reason is not what actually drives the position: Protect ordinary property rights.,,,barring-members-congress-president,,,,,,,,,,,,,,,,,,,,,,
people-who-bound-people,55,claim,The people who would be bound are the people who must vote for it.,,,barring-members-congress-president,,,,,,,,,,,,,,,,,,,,,,
opponents-cannot-point-benefit,56,claim,Opponents cannot point to a benefit of officials owning individual stocks that a diversified fund does not provide.,,,barring-members-congress-president,,,,,,,,,,,,,,,,,,,,,,
scandal-salience-handful-vivid,57,claim,Scandal salience: a handful of vivid cases stands in for a rate nobody has measured.,,,barring-members-congress-president,,,,,,,,,,,,,,,,,,,,,,
self-interest-status-quo,58,claim,Self-interest and status quo bias among the officials who would be bound.,,,barring-members-congress-president,,,,,,,,,,,,,,,,,,,,,,
stock-act-2012-made,59,claim,The STOCK Act of 2012 made insider trading law explicitly applicable to Congress and required transaction reports within 45 days.,,,barring-members-congress-president,,,,,,,,,,,,,,,,,,,,,,
courthouse-ethics-transparency-act,60,claim,The Courthouse Ethics and Transparency Act of 2022 applied the same transaction reporting to federal judges and created a searchable database.,,,barring-members-congress-president,,,,,,,,,,,,,,,,,,,,,,
criminal-conflict-interest-statute,61,claim,"The criminal conflict-of-interest statute does not apply to the president, the vice president, members of Congress or federal judges.",,,barring-members-congress-president,,,,,,,,,,,,,,,,Listed on the weakening side because it is cited that way; the linkage page is where that gets tested.,,,,,,
citizens-keep-ordinary-rights,62,claim,Citizens keep their ordinary rights when they take public office.,,,barring-members-congress-president,,,,,,,,,,,,,,,,,,,,,,
senior-executive-branch-officials,63,claim,Senior executive branch officials and their spouses should be barred from holding individual stocks.,,,barring-members-congress-president,,,,,,,,,,,,,,,,,,,,,,
congressional-staff-access-nonpublic,64,claim,Congressional staff with access to nonpublic information should face the same ban.,,,barring-members-congress-president,,,,,,,,,,,,,,,,,,,,,,
members-congress-barred-owning,65,claim,Members of Congress should be barred from owning any asset other than Treasury securities and diversified funds while in office.,,,barring-members-congress-president,,,,,,,,,,,,,,,,,,,,,,
members-congress-required-place,66,claim,Members of Congress should be required to place individual stocks in a qualified blind trust.,,,barring-members-congress-president,,,,,,,,,,,,,,,,,,,,,,
senators-jeff-merkley-josh,67,claim,"Senators Jeff Merkley, Josh Hawley and Jon Ossoff have sponsored or cosponsored legislation to ban congressional stock trading.",,,barring-members-congress-president,,,,,,,,,,,,,,,,,,,,,,
representatives-chip-roy-seth,68,claim,Representatives Chip Roy and Seth Magaziner have sponsored the leading House bills in the 119th Congress.,,,barring-members-congress-president,,,,,,,,,,,,,,,,,,,,,,
speaker-nancy-pelosi-said,69,claim,"Speaker Nancy Pelosi said in December 2021 that members should be able to participate in the free-market economy, before later supporting floor consideration of a ban.",,,barring-members-congress-president,,,,,,,,,,,,,,,,"Accurate as a quotation, misleading as a summary of her final position.",,,,,,
anti-nepotism-statute-stops,70,claim,"The anti-nepotism statute stops at the White House door, so the rule does not reach the place where the stakes are highest.",,,barring-president-members-congress,,,,,,,,,,,,,,,,The legal gap is real and was formally relied upon; whether a court would agree has never been tested.,,,,,,
relative-cannot-supervised-disciplined,71,claim,"A relative cannot be supervised, disciplined or fired the way another official can, so the ordinary checks on an official's conduct do not operate.",,,barring-president-members-congress,,,,,,,,,,,,,,,,The strongest argument on the page: it names a mechanism that does not depend on anyone's motives.,,,,,,
official-role-gives-family,72,claim,"An official role gives a family member a channel that foreign governments and business partners can use, with the family's private interests attached to it.",,,barring-president-members-congress,,,,,,,,,,,,,,,,Concrete and current; the rebuttal points at a narrower remedy.,,,,,,
rule-already-applies-every,73,claim,"The rule already applies to every other federal agency, so extending it closes a gap rather than inventing a restriction.",,,barring-president-members-congress,,,,,,,,,,,,,,,,"True, and the rebuttal reframes the whole proposal as an enforcement question.",,,,,,
formal-appointment-what-brings,74,claim,"Formal appointment is what brings a relative inside the ethics rules; a bar pushes the same influence outside them, where nothing applies.",,,barring-president-members-congress,,,,,,,,,,,,,,,,"The best argument against, and it is answered only if the rule is drafted around function rather than title.",,,,,,
problem-people-actually-point,75,claim,"The problem people actually point to is relatives trading on the family name in private business, which this proposal does not touch.",,,barring-president-members-congress,,,,,,,,,,,,,,,,A genuine scope objection: the proposal is aimed at a smaller target than the grievance that motivates it.,,,,,,
president-entitled-advisers-he,76,claim,"A president is entitled to advisers he trusts, and Congress's power to tell him whom he may consult is constitutionally contested.",,,barring-president-members-congress,,,,,,,,,,,,,,,,"Strong for White House staff, weak for Senate-confirmed posts.",,,,,,
competence-neither-inherited-nor,77,claim,"Competence is neither inherited nor disqualified by relation, and a blanket bar excludes people for a relationship rather than for a conflict.",,,barring-president-members-congress,,,,,,,,,,,,,,,,Answers an argument the proposal does not make.,,,,,,
justice-department-concluded-federal,78,claim,The Justice Department concluded that the federal anti-nepotism statute does not bar a presidential relative's appointment to the White House Office.,,,barring-president-members-congress,,,,,,,,,record,,,,,,,"Authoritative in practice, untested in court.",,,,,,
relatives-marriage-have-held,79,claim,"Relatives by marriage have held Senate-confirmed and envoy positions outside the White House Office, including an ambassadorship in 2025 and a special envoy designation in February 2026.",,,barring-president-members-congress,,,,,,,,,record,,,,,,,Current and verifiable; the confirmation point cuts against reading it as an unchecked practice.,,,,,,
relatives-who-became-federal,80,claim,"Relatives who became federal employees filed public financial disclosures reporting assets of up to roughly $762 million, with multiple amendments adding previously omitted holdings.",,,barring-president-members-congress,,,,,,,,,record,,,,,,,"The concrete form of the ""inside the rules"" argument.",,,,,,
federal-candidates-paid-combined,81,claim,"Federal candidates paid a combined $1.3 million in wages to people sharing their surname in one election cycle, entirely through campaign committees that no official-duty rule reaches.",,,barring-president-members-congress,,,,,,,,,statistics,,,,,,,"Shows where the money actually moves, which is not where the proposal points.",,,,,,
after-bar-takes-effect,82,claim,"After a bar takes effect, no relative of a president or a member holds a White House, envoy or ambassadorial post.",,,barring-president-members-congress,,,,,,,,,,,,,,,,"Easy to measure and easy to satisfy without changing anything, which is the objection in one line.",,,,,,
documented-contacts-which-foreign,83,claim,Documented contacts in which a foreign government routes business through a presidential relative fall relative to the preceding decade.,,,barring-president-members-congress,,,,,,,,,,,,,,,,"The right thing to measure, measured by a proxy that moves for other reasons.",,,,,,
relatives-continue-shape-policy,84,claim,"Relatives continue to shape policy as private citizens and unpaid informal advisers, and the number of documented family-channel contacts is unchanged.",,,barring-president-members-congress,,,,,,,,,,,,,,,,The way this belief most plausibly fails.,,,,,,
official-decisions-stop-being,85,claim,Official decisions stop being made by people the president cannot supervise or remove in the ordinary way.,,,barring-president-members-congress,,,,,,,,,,,,,,,,,,,,,,
foreign-governments-lose-contact,86,claim,Foreign governments lose a contact point that carries private family interests with it.,,,barring-president-members-congress,,,,,,,,,,,,,,,,,,,,,,
career-staff-can-raise,87,claim,Career staff can raise objections to a senior adviser without raising them to the president about his own family.,,,barring-president-members-congress,,,,,,,,,,,,,,,,,,,,,,
president-loses-advisers-he,88,claim,"A president loses advisers he trusts most, at some cost to the quality of advice he acts on.",,,barring-president-members-congress,,,,,,,,,,,,,,,,,,,,,,
qualified-people-excluded-public,89,claim,Qualified people are excluded from public service for a family relationship they did not choose.,,,barring-president-members-congress,,,,,,,,,,,,,,,,,,,,,,
influence-moves-informal-channels,90,claim,Influence moves to informal channels that file nothing and leave no record.,,,barring-president-members-congress,,,,,,,,,,,,,,,,,,,,,,
relative-official-role-creates,91,claim,A relative in an official role creates conflicts that ordinary supervision and ethics rules cannot check.,,,barring-president-members-congress,,,,,,,,,,,,,,,,"Contested, and the disagreement is the mirror image of the ""inside the rules"" argument.",,,,,,
bar-removes-influence-rather,92,claim,A bar removes the influence rather than pushing it into informal channels.,,,barring-president-members-congress,,,,,,,,,,,,,,,,"Tied for weakest load-bearing component on this page, which is why the cap bites.",,,,,,
congress-can-impose-bar,93,claim,Congress can impose the bar on White House appointments.,,,barring-president-members-congress,,,,,,,,,,,,,,,,More defensible than the pardon case and less settled than the stock case.,,,,,,
both-sides-want-relatives,94,claim,Both sides want relatives' financial interests visible rather than hidden.,,,barring-president-members-congress,,,,,,,,,,,,,,,,,,,,,,
bar-relatives-senate-confirmed,95,claim,"Bar relatives from Senate-confirmed and envoy positions, and require anyone performing official functions, whatever their title, to file the same disclosures and follow the same conflict rules as an employee.",,,barring-president-members-congress,,,,,,,,,,,,,,,,,,,,,,
relatives-president-barred-senate,96,claim,Relatives of the president should be barred from Senate-confirmed positions but permitted to serve as unpaid advisers subject to full disclosure.,,,barring-president-members-congress,,,,,,,,,,,,,,,,,,,,,,
return-shows-what-financial,97,claim,"A return shows what the financial disclosure form does not: exact income and its character, foreign income and foreign tax credits, business losses carried forward, charitable giving, and the rate actually paid.","A published tax return shows what the federal financial disclosure form does not: exact income and its character, foreign income and foreign tax credits, business losses carried forward, charitable giving, and the rate actually paid.",,requiring-president-members-congress,,,,,,,,,,,,,,,,The factual claim about what each document contains is correct; whether the extra content is what screens conflicts is the argument.,,,,,,
internal-check-failed-one,98,claim,"The internal check failed in the one case that tested it: the mandatory presidential audit was dormant, and the audit of the first two years opened the day Congress asked for the returns.","The internal check on a president’s tax compliance failed in the one case that tested it: the mandatory presidential audit was dormant, and the audit of the first two years opened the day Congress asked for the returns.",,requiring-president-members-congress,,,,,,,,,,,,,,,,"The strongest evidence on the page, and it is about the audit rather than about publication.",,,,,,
every-president-carter-through,99,claim,"Every president from Carter through Obama released returns voluntarily, so a requirement restores a forty-year norm rather than inventing an obligation.","Every president from Carter through Obama released tax returns voluntarily, so a publication requirement restores a forty-year norm rather than inventing an obligation.",,requiring-president-members-congress,,,,,,,,,,,,,,,,Accurate history; the step from norm to statute is the contested part.,,,,,,
published-return-can-checked,100,claim,"A published return can be checked by anyone, which is the only enforcement that does not depend on an agency the official appoints.","A published tax return can be checked by anyone, which is the only enforcement of an officeholder’s tax compliance that does not depend on an agency the officeholder appoints.",,requiring-president-members-congress,,,,,,,,,,,,,,,,"The structural argument, and the one least dependent on any particular administration.",,,,,,
return-shows-tax-positions,101,claim,"A return shows tax positions, not conflicts, and the disclosure form already lists assets, income sources, liabilities and positions in categories built for conflict screening.","A tax return shows tax positions, not conflicts, and the federal financial disclosure form already lists assets, income sources, liabilities and positions in categories built for conflict screening.",,requiring-president-members-congress,,,,,,,,,,,,,,,,"The best argument against, and the rebuttal is specific enough to test.",,,,,,
publication-exposes-spouses-children,102,claim,"Publication exposes spouses, children and business partners who never ran for office.","Requiring the president and members of Congress to publish their tax returns would publish the finances of spouses, children and business partners who never ran for office.",,requiring-president-members-congress,,,,,,,,,,,,,,,,A real privacy cost with a partial drafting answer.,,,,,,
route-constitutionally-narrow-disclosure,103,claim,"The route is constitutionally narrow: a disclosure condition on ballot access was already struck down once, and a badly drafted rule would be litigated rather than obeyed.","The constitutional route to a tax-return publication requirement is narrow: a disclosure condition on ballot access was already struck down once, and a badly drafted rule would be litigated rather than obeyed.",,requiring-president-members-congress,,,,,,,,,,,,,,,,The precedent is real and much narrower than the argument treats it.,,,,,,
sophisticated-wealth-sits-pass,104,claim,"Sophisticated wealth sits in pass-through entities and trusts that file their own returns, so a personal return can be published and show very little.",,,requiring-president-members-congress,,,,,,,,,,,,,,,,The most technically substantive objection on the page.,,,,,,
mandatory-irs-audit-presidential,105,claim,"The mandatory IRS audit of presidential returns was ""dormant, at best,"" and the audit of the 2015 and 2016 returns opened on April 3, 2019, the day the committee requested them; only 2016 was completed in office.",,,requiring-president-members-congress,,,,,,,,,record,,,,,,,The dates are documentary and the characterization is the committee's.,,,,,,
nixon-released-his-returns,106,claim,"Nixon released his returns in December 1973 and asked the Joint Committee on Taxation to review them; the review found roughly $465,000 in back taxes owed.",,,requiring-president-members-congress,,,,,,,,,record,,,,,,,"The founding case of the norm, and it cuts slightly against compulsion.",,,,,,
public-financial-disclosure-form,107,claim,"The public financial disclosure form already requires assets, income sources, liabilities, positions, agreements and gifts, reported in value ranges.",,,requiring-president-members-congress,,,,,,,,,record,,,,,,,"Accurate, and the range structure is exactly what the other side points at.",,,,,,
state-law-requiring-five,108,claim,A state law requiring five years of returns from presidential primary candidates was struck down unanimously on state constitutional grounds.,,,requiring-president-members-congress,,,,,,,,,record,,,,,,,"Frequently cited for more than it holds, which is what its linkage page is for.",,,,,,
within-two-election-cycles,109,claim,"Within two election cycles of a publication requirement, at least one significant undisclosed foreign income source or lender relationship is found in a published return.",,,requiring-president-members-congress,,,,,,,,,,,,,,,,"Diagnostic, and its failure would be ambiguous between deterrence and nothing to find.",,,,,,
published-returns-add-nothing,110,claim,"Published returns add nothing to what the disclosure form already showed, and no conflict is identified from a return that the form had not already flagged.",,,requiring-president-members-congress,,,,,,,,,,,,,,,,Directly testable against the one case where both documents exist.,,,,,,
foreign-income-lender-relationships,111,claim,Foreign income and lender relationships become visible without a subpoena.,"If the president and members of Congress published their tax returns, foreign income and lender relationships would become visible without a subpoena.",,requiring-president-members-congress,,,,,,,,,,,,,,,,,,,,,,
voters-can-judge-official,112,claim,Voters can judge an official's financial entanglements before voting rather than after an investigation.,"If the president and members of Congress published their tax returns, voters could judge an official’s financial entanglements before voting rather than after an investigation.",,requiring-president-members-congress,,,,,,,,,,,,,,,,,,,,,,
audit-president-stops-depending,113,claim,The audit of the president stops depending on an agency the president appoints.,"If the president published their tax returns, the audit of the president would stop depending on an agency the president appoints.",,requiring-president-members-congress,,,,,,,,,,,,,,,,,,,,,,
spouses-children-business-partners,114,claim,"Spouses, children and business partners have their finances published without holding office.","Under a tax-return publication requirement, spouses, children and business partners have their finances published without holding office.",,requiring-president-members-congress,,,,,,,,,,,,,,,,,,,,,,
